Country,x,y
Switzerland,7.587,0.94143
Iceland,7.561,0.94784
Denmark,7.527,0.87464
Norway,7.522,0.88521
Canada,7.427,0.90563
Finland,7.406,0.88911
Netherlands,7.378,0.89284
Sweden,7.364,0.91087
New Zealand,7.286,0.90837
Australia,7.284,0.93156
Israel,7.278,0.91387
Costa Rica,7.226,0.86027
Austria,7.2,0.89042
Mexico,7.187,0.81444
United States,7.119,0.86179
Brazil,6.983,0.69702
Luxembourg,6.946,0.91894
Ireland,6.94,0.89533
Belgium,6.937,0.89667
United Arab Emirates,6.901,0.80925
United Kingdom,6.867,0.90943
Oman,6.853,0.76276
Venezuela,6.81,0.72052
Singapore,6.798,1.02525
Panama,6.786,0.79661
Germany,6.75,0.89186
Chile,6.67,0.85857
Qatar,6.611,0.79733
France,6.575,0.94579
Argentina,6.574,0.78723
